都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
292095,,奈良県,生駒市,鹿ノ台佐保保育園,シカノダイサホホイクエン,,奈良県生駒市鹿ノ台北2-2-6,,34.73943167,135.7466776,,,0743-78-3973,,0743-78-3973,,,,,,月火水木金土,07:00,19:30,土曜日は15時45分まで,,http://www.ans.co.jp/n/shikanodaisaho/,
292095,,奈良県,生駒市,にじ保育園,ニジホイクエン,,奈良県生駒市白庭台6-12-1,,34.721716,135.716343,,,0743-71-3399,,0743-71-3399,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,,
292095,,奈良県,生駒市,学研まゆみ保育園,ガッケンマユミホイクエン,,奈良県生駒市真弓南1-14-1,,34.7192157,135.7297365,,,0743-71-2005,,0743-71-2004,,,,,,月火水木金土,07:00,20:00,土曜日は18時00分まで,,http://www.ans.co.jp/n/mayumi/,
292095,,奈良県,生駒市,あすかの保育園,アスカノホイクエン,,奈良県生駒市あすか野南2-1-25,,34.71155505,135.7188306,,,0743-78-4010,,0743-78-4080,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,http://asukano.hozanji-wel.org/,
292095,,奈良県,生駒市,阪奈中央病児こぐま園,ハンナチュウオウビョウジコグマエン,,奈良県生駒市俵口町471,,34.7069024,135.6974038,,,0743-74-0800,,0743-74-7798,,,,,,月火水木金土,07:30,19:30,日曜日は第1、３日曜日のみ,,http://kuriokagakuen.ac.jp/kogumaen,
292095,,奈良県,生駒市,ひがし保育園,ヒガシホイクエン,,奈良県生駒市辻町22,,34.69877632,135.7109614,,,0743-73-6446,,0743-73-8972,,,,,,月火水木金土,07:00,19:30,土曜日は18時00分まで,,http://www.city.ikoma.lg.jp/0000001536.html,
292095,,奈良県,生駒市,ソフィア谷田保育園,ソフィアタニダホイクエン,,奈良県生駒市谷田町875-1,,34.695615,135.700472,,,0743-61-5011,,,,,,,,月火水木金土,07:30,19:30,,,,
292095,,奈良県,生駒市,いちぶちどりキッズたにだ,イチブチドリキッズタニダ,,奈良県生駒市谷田町359-3,パストラル生駒1階,34.693624,135.702389,,,0743-85-5118,,0743-85-5118,,,,,,月火水木金土,07:30,18:30,,,http://www.chidori.or.jp/facility/hoiku_ichibu_kidstanida/,
292095,,奈良県,生駒市,中保育園,ナカホイクエン,,奈良県生駒市東新町8-28,,34.691671,135.699536,,,0743-74-5570,,0743-74-8547,,,,,,月火水木金土,07:00,19:30,土曜日は18時00分まで,,http://www.city.ikoma.lg.jp/0000001495.html,
292095,,奈良県,生駒市,キッズ・ガーデン,キッズ・ガーデン,,奈良県生駒市北新町11-1,AOIアートビル102,34.69131171,135.6974676,,,0743-73-1500,,0743-73-1500,,,,,,月火水木金土,07:30,18:30,,,http://www.r-kusuri.jp/kidsgarden/,
292095,,奈良県,生駒市,會津生駒保育園,アイヅイコマホイクエン,,奈良県生駒市山崎町5-6,,34.69041714,135.7082518,,,0743-72-1117,,0743-72-1176,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,http://www.valsta.jp/aiduikoma/indextop.htm,
292095,,奈良県,生駒市,いこま乳児保育園,イコマニュウジホイクエン,,奈良県生駒市元町2-14-8,,34.68980717,135.6908031,,,0743-74-1174,,0743-74-1174,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,http://newho.hozanji-wel.org/,
292095,,奈良県,生駒市,會津壱分保育園,アイヅイチブホイクエン,,奈良県生駒市壱分町1190-1,,34.67652325,135.7061237,,,0743-77-0071,,0743-76-2277,,,,,,月火水木金土,07:30,19:30,土曜日は18時00分まで,,http://valsta.jp/aiduichibu/index.html,
292095,,奈良県,生駒市,いちぶちどり保育園,イチブチドリホイクエン,,奈良県生駒市壱分町83-87,,34.66973356,135.7160908,,,0743-76-2400,,0743-76-2401,,,,,,月火水木金土,07:30,19:30,,,http://www.chidori.or.jp/facility/hoiku_ichibu/,
292095,,奈良県,生駒市,小平尾保育園,コビラオホイクエン,,奈良県生駒市小平尾町1553-1,,34.65789975,135.7054127,,,0743-77-7047,,0743-77-7689,,,,,,月火水木金土,07:00,19:30,土曜日は18時00分まで,,http://www.city.ikoma.lg.jp/0000001600.html,
292095,,奈良県,生駒市,いちぶちどりキッズ,イチブチドリキッズ,,奈良県生駒市萩の台1-2-2,ライフコート萩の台Bの2室,34.65597,135.709135,,,0743-76-0700,,0743-76-0700,,,,,,月火水木金土,07:30,18:30,,,http://www.chidori.or.jp/facility/hoiku_ichibu_kids,
292095,,奈良県,生駒市,奈良佐保短期大学附属生駒幼稚園,ナラホサタンキダイガクフゾクイコマヨウチエン,,奈良県生駒市鹿ノ台南2-12,,34.73262259,135.7501373,,,0743-78-4555,,0743-78-4588,,,,,,月火水木金,08:30,17:30,,,https://www.narasaho-c.ac.jp/kinder/ikoma/index.html,
292095,,奈良県,生駒市,白庭台幼稚園,シラニワダイヨウチエン,,奈良県生駒市白庭台2-1-1,,34.724234,135.711424,,,0743-85-5533,,0743-78-5587,,,,,,月火水木金,08:00,17:00,祝日を除く,,http://www.shiraniwadai.ed.jp/,
292095,,奈良県,生駒市,エンゼル幼稚園,エンゼルヨウチエン,,奈良県生駒市南田原町789-5,,34.7173243,135.7051214,,,0743-78-0386,,0743-78-0386,,,,,,月火水木金土,09:00,14:00,土曜日は12時00分まで,,http://nashiyou.jp/prospectus/%e3%82%a8%e3%83%b3%e3%82%bc%e3%83%ab%e5%b9%bc%e7%a8%9a%e5%9c%92/,
292095,,奈良県,生駒市,生駒台幼稚園,イコマダイヨウチエン,,奈良県生駒市新生駒台3-44,,34.71039501,135.7024817,,,0743-74-3462,,0743-74-8879,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006839.html,
292095,,奈良県,生駒市,あすか野幼稚園,アスカノヨウチエン,,奈良県生駒市あすか野南2-5-2,,34.70891531,135.7174007,,,0743-78-6292,,0743-78-6832,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006841.html,
292095,,奈良県,生駒市,俵口幼稚園,タワラグチヨウチエン,,奈良県生駒市俵口町2231,,34.70483548,135.6890826,,,0743-74-8831,,0743-74-8923,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006840.html,
292095,,奈良県,生駒市,桜ヶ丘幼稚園,サクラガオカヨウチエン,,奈良県生駒市桜ケ丘7-16,,34.69840633,135.7067216,,,0743-74-9711,,0743-74-8924,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006842.html,
292095,,奈良県,生駒市,白百合幼稚園,シラユリヨウチエン,,奈良県生駒市西松ケ丘3-40,,34.69833627,135.6951124,,,0743-73-2368,,0743-73-2405,,,,,,月火水木金土,08:00,17:30,土曜日は14時00分まで,,http://shirayuri-kinder.jp/,
292095,,奈良県,生駒市,壱分幼稚園,イチブヨウチエン,,奈良県生駒市壱分町520,,34.67369852,135.7159317,,,0743-77-6785,,0743-77-6787,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006845.html,
292095,,奈良県,生駒市,なばた幼稚園,ナバタヨウチエン,,奈良県生駒市東生駒月見町207-25,,34.68298782,135.7116617,,,0743-74-1975,,0743-74-8847,,,,,,月火水木金,08:30,16:00,,,http://www.city.ikoma.lg.jp/0000006838.html,
